Sample_ID,Protein identifier,Contig id,Start,Stop,Strand,Gene symbol,Sequence name,Scope,Element type,Element subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference sequence,% Identity to reference sequence,Alignment length,Accession of closest sequence,Name of closest sequence,HMM id,HMM description
HUM0042_S1_R1_001amrf_output,NA,NODE_3268_length_4690_cov_32.472492,1057,2973,+,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0042_S1_R1_001amrf_output,NA,NODE_74673_length_638_cov_1.845626,6,587,+,rmtF,RmtF family 16S rRNA (guanine(1405)-N(7))-methyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,PARTIALX,194,259,74.9,97.94,194,WP_015632396.1,16S rRNA (guanine(1405)-N(7))-methyltransferase RmtF1,NA,NA
HUM0042_S1_R1_001amrf_output,NA,NODE_79506_length_614_cov_2.220036,1,411,+,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,PARTIAL_CONTIG_ENDX,137,164,83.54,100,137,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUM0148_S21_R1_001amrf_output,NA,NODE_12583_length_1597_cov_370.380026,20,1597,+,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,526,641,82.06,98.1,526,WP_063856407.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0148_S21_R1_001amrf_output,NA,NODE_18652_length_1216_cov_51.091301,3,1214,-,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,404,639,63.22,100,404,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0148_S21_R1_001amrf_output,NA,NODE_19962_length_1162_cov_56.064137,2,1162,-,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,387,639,60.56,100,387,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0148_S21_R1_001amrf_output,NA,NODE_5056_length_3233_cov_14.664254,1825,2904,+,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,360,406,88.67,98.61,360,WP_024407615.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUM0148_S21_R1_001amrf_output,NA,NODE_6122_length_2743_cov_117.949405,1726,2685,-,cfxA6,broad-spectrum class A beta-lactamase CfxA6,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,320,320,100,99.38,320,WP_117664257.1,broad-spectrum class A beta-lactamase CfxA6,NA,NA
HUM0148_S21_R1_001amrf_output,NA,NODE_7373_length_2381_cov_45.672399,42,1958,-,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.84,639,WP_012669445.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUM0148_S21_R1_001amrf_output,NA,NODE_8906_length_2052_cov_8.721582,160,651,+,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUM0149_S28_R1_001amrf_output,NA,NODE_1299_length_9319_cov_31.527958,3,1802,+,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,600,639,93.9,100,600,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0149_S28_R1_001amrf_output,NA,NODE_13397_length_1771_cov_41.828089,14,1771,-,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,586,639,91.71,100,586,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0149_S28_R1_001amrf_output,NA,NODE_15040_length_1633_cov_4.617237,253,1632,+,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,460,639,71.99,98.7,460,WP_050232631.1,tetracycline resistance ribosomal protection protein Tet(M),NA,NA
HUM0149_S28_R1_001amrf_output,NA,NODE_2746_length_5739_cov_6.150774,2126,3088,-,cfxA5,broad-spectrum class A beta-lactamase CfxA5,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,321,321,100,99.69,321,WP_032946415.1,broad-spectrum class A beta-lactamase CfxA5,NA,NA
HUM0149_S28_R1_001amrf_output,NA,NODE_2796_length_5660_cov_98.041927,3666,5588,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,641,641,100,97.19,641,WP_002560998.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0149_S28_R1_001amrf_output,NA,NODE_3659_length_4678_cov_21.009301,4128,4619,+,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUM0149_S28_R1_001amrf_output,NA,NODE_6274_length_3120_cov_6.743883,217,1296,-,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,360,406,88.67,98.89,360,WP_024407615.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUM0149_S28_R1_001amrf_output,NA,NODE_8385_length_2494_cov_51.936039,309,2225,-,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.69,639,WP_063856405.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUM0149_S28_R1_001amrf_output,NA,NODE_8674_length_2432_cov_219.059739,59,1018,+,cfxA6,broad-spectrum class A beta-lactamase CfxA6,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,320,320,100,99.38,320,WP_117664257.1,broad-spectrum class A beta-lactamase CfxA6,NA,NA
HUM0152_S5_R1_001amrf_output,NA,NODE_1491_length_5198_cov_3.180828,4088,5197,-,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,370,639,57.9,100,370,WP_063856393.1,tetracycline resistance ribosomal protection protein Tet(M),NA,NA
HUM0152_S5_R1_001amrf_output,NA,NODE_1957_length_3978_cov_3.386184,667,2583,-,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.69,639,WP_050824634.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUM0152_S5_R1_001amrf_output,NA,NODE_23650_length_493_cov_4.194064,1,492,-,erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),core,AMR,AMR,MACROLIDE,MACROLIDE,PARTIAL_CONTIG_ENDX,164,245,66.94,100,164,WP_001038792.1,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),NA,NA
HUM0152_S5_R1_001amrf_output,NA,NODE_28_length_92377_cov_148.167165,65099,65590,-,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUM0152_S5_R1_001amrf_output,NA,NODE_4249_length_1999_cov_110.629630,2,1798,-,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,599,639,93.74,100,599,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0152_S5_R1_001amrf_output,NA,NODE_4959_length_1764_cov_4.172616,2,1516,-,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,505,639,79.03,100,505,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0152_S5_R1_001amrf_output,NA,NODE_5946_length_1514_cov_22.660727,2,1513,+,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,504,641,78.63,98.02,504,WP_063856407.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0152_S5_R1_001amrf_output,NA,NODE_7986_length_1185_cov_50.384956,189,1148,+,cfxA6,broad-spectrum class A beta-lactamase CfxA6,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,320,320,100,99.69,320,WP_117664257.1,broad-spectrum class A beta-lactamase CfxA6,NA,NA
HUM0152_S5_R1_001amrf_output,NA,NODE_9148_length_1062_cov_2.815293,3,1061,+,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,353,406,86.95,98.87,353,WP_015573055.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUM0233_S187_R1_001amrf_output,NA,NODE_1042_length_8929_cov_83.902862,3,1913,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,637,641,99.38,99.69,637,WP_002560998.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0233_S187_R1_001amrf_output,NA,NODE_112922_length_279_cov_1.428571,1,279,-,dfrA1,trimethoprim-resistant dihydrofolate reductase DfrA1,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,PARTIAL_CONTIG_ENDX,93,157,59.24,100,93,WP_000777555.1,trimethoprim-resistant dihydrofolate reductase DfrA1,NA,NA
HUM0233_S187_R1_001amrf_output,NA,NODE_118777_length_274_cov_1.301370,1,273,-,dfrA14,trimethoprim-resistant dihydrofolate reductase DfrA14,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,PARTIAL_CONTIG_ENDX,91,157,57.96,100,91,WP_004201280.1,trimethoprim-resistant dihydrofolate reductase DfrA14,NA,NA
HUM0233_S187_R1_001amrf_output,NA,NODE_3746_length_3339_cov_5.112058,999,2915,+,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.69,639,WP_063856405.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUM0233_S187_R1_001amrf_output,NA,NODE_5045_length_2584_cov_3.615263,71,1987,+,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0233_S187_R1_001amrf_output,NA,NODE_6038_length_2206_cov_21.874477,9,1925,-,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0233_S187_R1_001amrf_output,NA,NODE_8455_length_1680_cov_4.119385,649,1611,-,cfxA,CfxA family broad-spectrum class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,EXACTX,321,321,100,100,321,WP_004339683.1,CfxA family broad-spectrum class A beta-lactamase,NA,NA
HUM0235_S45_R1_001amrf_output,NA,NODE_11423_length_1668_cov_280.386237,1,1668,+,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,556,641,86.74,99.1,556,WP_063856407.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0235_S45_R1_001amrf_output,NA,NODE_18512_length_1198_cov_13.736658,1,1035,+,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,345,406,84.98,99.71,345,WP_009247026.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUM0235_S45_R1_001amrf_output,NA,NODE_19317_length_1166_cov_29.124212,9,1166,-,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,386,639,60.41,100,386,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0235_S45_R1_001amrf_output,NA,NODE_3294_length_4242_cov_5.772391,1282,3198,+,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.22,639,WP_050232631.1,tetracycline resistance ribosomal protection protein Tet(M),NA,NA
HUM0235_S45_R1_001amrf_output,NA,NODE_4068_length_3620_cov_125.704067,645,1604,-,cfxA6,broad-spectrum class A beta-lactamase CfxA6,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,320,320,100,99.69,320,WP_117664257.1,broad-spectrum class A beta-lactamase CfxA6,NA,NA
HUM0235_S45_R1_001amrf_output,NA,NODE_4295_length_3462_cov_15.400646,1411,3327,-,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0235_S45_R1_001amrf_output,NA,NODE_44964_length_664_cov_3.714286,161,628,+,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,BLASTX,156,164,95.12,100,156,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUM0235_S45_R1_001amrf_output,NA,NODE_60569_length_551_cov_24.040323,63,551,+,cfxA,CfxA family broad-spectrum class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,PARTIAL_CONTIG_ENDX,163,321,50.78,100,163,WP_004339683.1,CfxA family broad-spectrum class A beta-lactamase,NA,NA
HUM0322_S282_R1_001amrf_output,NA,NODE_102073_length_250_cov_1.953846,2,241,-,fosB,FosB/FosD family fosfomycin resistance bacillithiol transferase,core,AMR,AMR,FOSFOMYCIN,FOSFOMYCIN,PARTIAL_CONTIG_ENDX,80,138,57.97,97.5,80,WP_000943763.1,fosfomycin resistance bacillithiol transferase FosBx1,NA,NA
HUM0322_S282_R1_001amrf_output,NA,NODE_1339_length_2488_cov_29.609947,309,2225,-,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.37,639,WP_063856405.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUM0322_S282_R1_001amrf_output,NA,NODE_1682_length_2206_cov_31.941887,42,1958,-,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0322_S282_R1_001amrf_output,NA,NODE_18323_length_578_cov_5.933078,76,567,-,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUM0322_S282_R1_001amrf_output,NA,NODE_3309_length_1572_cov_154.325643,1,1572,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,524,641,81.75,98.47,524,WP_063856407.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0322_S282_R1_001amrf_output,NA,NODE_6407_length_1072_cov_34.965585,57,1016,+,cfxA6,broad-spectrum class A beta-lactamase CfxA6,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,320,320,100,99.38,320,WP_117664257.1,broad-spectrum class A beta-lactamase CfxA6,NA,NA
HUM0322_S282_R1_001amrf_output,NA,NODE_7_length_32626_cov_35.121488,23992,24954,+,cfxA,CfxA family broad-spectrum class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,EXACTX,321,321,100,100,321,WP_004339683.1,CfxA family broad-spectrum class A beta-lactamase,NA,NA
HUM0322_S282_R1_001amrf_output,NA,NODE_834_length_3120_cov_13.932137,1825,2904,+,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,360,406,88.67,98.89,360,WP_024407615.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUM0324_S20_R1_001amrf_output,NA,NODE_11229_length_1883_cov_5.203501,178,1881,-,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,568,639,88.89,99.3,568,WP_063856393.1,tetracycline resistance ribosomal protection protein Tet(M),NA,NA
HUM0324_S20_R1_001amrf_output,NA,NODE_1965_length_6414_cov_7.269067,125,1027,+,mph(A),Mph(A) family macrolide 2'-phosphotransferase,core,AMR,AMR,MACROLIDE,MACROLIDE,BLASTX,301,301,100,99.67,301,WP_000219391.1,Mph(A) family macrolide 2'-phosphotransferase,NA,NA
HUM0324_S20_R1_001amrf_output,NA,NODE_1965_length_6414_cov_7.269067,4257,5114,+,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100,100,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,NA,NA
HUM0324_S20_R1_001amrf_output,NA,NODE_23232_length_1157_cov_2.286751,3,1094,-,tet(S),tetracycline resistance ribosomal protection protein Tet(S),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,364,641,56.79,100,364,WP_000691722.1,tetracycline resistance ribosomal protection protein Tet(S),NA,NA
