"","SAMPLE_ID","code1","code2","code3","num1","num2","Gene_Symbol","Gene_symbol2","description","Score","Expected","Template_length","Template_Identity","Template_Coverage","Query_Identity","Query_Coverage","Depth","q_value","p_value","readCount","fragmentCount","mapScoreSum","refCoveredPositions","refConsensusSum","bpTotal","depthVariance","nucHighDepthVariance","depthMax","snpSum","insertSum","deletionSum","readCountAln","fragmentCountAln","template_length_kb","percent_rooted_reads","number_rooted_reads","number_taxon_reads","taxon_rank","taxon_symbol","taxon","Template_Coverage_2","Query_Identity_2"
"11","HUM0038","488673313","WP_002602099.1","NG_048125.1","1","1","tet(32)","tet(32)","tetracycline_resistance_ribosomal_protection_protein_Tet(32) NG_048125.1:101-2020","   58792","    2023","    1920","  100.00","  100.00","  100.00","  100.00","   28.44","52991.29","1.0e-26",720,"667","53875","1920","1920","54610","76.417551","16","56","255","0","6","403","351",1.92,29.27,2510184,61148,"D",2,"    Bacteria",100,100
"12","HUM0038","489549776","WP_003454408.1","NG_048145.1","1","1","tet(44)","tet(44)","tetracycline_resistance_ribosomal_protection_protein_Tet(44) NG_048145.1:101-2023","    6832","    2040","    1923","   72.33","   73.79","   98.03","  135.52","    2.41"," 2588.05","1.0e-26",190,"184","4330","1419","1391","4644","3.736271","0","7","106","0","0","31","29",1.923,29.27,2510184,61148,"D",2,"    Bacteria",73.79,98.03
"13","HUM0038","489600961","WP_003505402.1","NG_048126.1","1","1","tet(32)","tet(32)","tetracycline_resistance_ribosomal_protection_protein_Tet(32) NG_048126.1:101-2020","   14481","    2034","    1920","   98.54","   98.59","   99.95","  101.43","    6.78"," 9379.01","1.0e-26",189,"176","12780","1893","1892","13015","11.762981","1","18","83","0","0","89","78",1.92,29.27,2510184,61148,"D",2,"    Bacteria",98.59,99.95
"14","HUM0038","504449189","WP_014636291.1","NG_048267.1","1","1","tet(O)","tet(O)","tetracycline_resistance_ribosomal_protection_protein_Tet(O) NG_048267.1:62-1981","   36557","    2029","    1920","   98.23","   98.23","  100.00","  101.80","   15.83","30896.33","1.0e-26",608,"575","30135","1886","1886","30398","66.896874","0","40","97","0","0","215","188",1.92,29.27,2510184,61148,"D",2,"    Bacteria",98.23,100
"15","HUM0038","505385953","WP_015573055.1","NG_048139.1","1","1","tet(40)","tet(40)","tetracycline_efflux_MFS_transporter_Tet(40) NG_048139.1:101-1321","    2980","    1295","    1221","   65.19","   65.27","   99.87","  153.20","    2.43","  663.28","1.0e-26",25,"23","2938","797","796","2964","5.94663","0","8","10","0","0","20","18",1.221,29.27,2510184,61148,"D",2,"    Bacteria",65.27,99.87
"16","HUM0038","557680565","WP_023434793.1","NG_051537.1","1","1","rmtF2","rmtF","16S_rRNA_(guanine(1405)-N(7))-methyltransferase_RmtF2 NG_051537.1:101-880","    4618","     827","     780","   86.15","   87.56","   98.39","  114.20","    1.76"," 2638.24","1.0e-26",216,"212","1219","683","672","1369","1.500294","0","4","50","0","0","11","10",0.78,29.27,2510184,61148,"D",2,"    Bacteria",87.56,98.39
"17","HUM0038","636989663","WP_024407615.1","NG_048140.1","1","1","tet(40)","tet(40)","tetracycline_efflux_MFS_transporter_Tet(40) NG_048140.1:101-1321","   21556","    1292","    1221","   99.84","  100.00","   99.84","  100.00","   15.61","17970.16","1.0e-26",288,"271","18816","1221","1219","19056","34.177971","0","28","76","9","0","142","127",1.221,29.27,2510184,61148,"D",2,"    Bacteria",100,99.84
"18","HUM0041","1028100270","WP_063856405.1","NG_048262.1","1","1","tet(O)","tet(O)","tetracycline_resistance_ribosomal_protection_protein_Tet(O) NG_048262.1:14-1933","    6454","    1684","    1920","   61.15","   61.30","   99.75","  163.13","    3.21"," 2794.63","1.0e-26",62,"50","6124","1177","1174","6163","28.666881","92","24","15","0","0","42","30",1.92,53.9,4354891,44816,"D",2,"    Bacteria",61.3,99.75
"19","HUM0041","1028100272","WP_063856407.1","NG_048270.1","1","1","tet(Q)","tet(Q)","tetracycline_resistance_ribosomal_protection_protein_Tet(Q) NG_048270.1:101-2026","  103521","    1664","    1926","   98.34","   99.84","   98.49","  100.16","   56.45","98632.91","1.0e-26",1074,"893","102899","1923","1894","108722","463.590143","0","98","1971","0","0","764","592",1.926,53.9,4354891,44816,"D",2,"    Bacteria",99.84,98.49
"20","HUM0041","488251003","WP_002322211.1","NG_047755.1","1","1","dfrF","dfrF","trimethoprim-resistant_dihydrofolate_reductase_DfrF NG_047755.1:101-595","    6685","     434","     495","   99.80","  100.20","   99.60","   99.80","   11.60"," 5488.15","1.0e-26",110,"98","5648","496","494","5742","22.83798","0","19","16","8","0","43","31",0.495,53.9,4354891,44816,"D",2,"    Bacteria",100.2,99.6
"21","HUM0041","488624287","WP_002560998.1","NG_048269.1","1","1","tet(Q)","tet(Q)","tetracycline_resistance_ribosomal_protection_protein_Tet(Q) NG_048269.1:101-2026","   77164","    1671","    1926","   97.66","   98.70","   98.95","  101.32","   41.60","72291.44","1.0e-26",652,"535","77306","1901","1881","80123","446.733104","0","89","953","0","6","548","433",1.926,53.9,4354891,44816,"D",2,"    Bacteria",98.7,98.95
"22","HUM0041","488650015","WP_002586627.1","NG_048281.1","1","1","tet(W)","tet(W)","tetracycline_resistance_ribosomal_protection_protein_Tet(W) NG_048281.1:101-2020","  150325","    1646","    1920","  100.00","  100.00","  100.00","  100.00","   76.33","145455.44","1.0e-26",1349,"1068","146136","1920","1920","146559","149.925173","8","116","178","3","0","1074","798",1.92,53.9,4354891,44816,"D",2,"    Bacteria",100,100
"23","HUM0041","488673313","WP_002602099.1","NG_048125.1","1","1","tet(32)","tet(32)","tetracycline_resistance_ribosomal_protection_protein_Tet(32) NG_048125.1:101-2020","   34725","    1677","    1920","   98.12","   98.12","  100.00","  101.91","   17.25","30002.00","1.0e-26",357,"283","33009","1884","1884","33112","125.737483","0","40","45","0","0","247","177",1.92,53.9,4354891,44816,"D",2,"    Bacteria",98.12,100
"24","HUM0041","490421615","WP_004293868.1","NG_048268.1","1","1","tet(Q)","tet(Q)","tetracycline_resistance_ribosomal_protection_protein_Tet(Q) NG_048268.1:101-2026","   13089","    1688","    1926","   63.08","   65.21","   96.74","  153.34","    8.16"," 8795.56","1.0e-26",148,"131","13937","1256","1215","15721","102.883766","0","35","594","0","1","116","99",1.926,53.9,4354891,44816,"D",2,"    Bacteria",65.21,96.74
"25","HUM0041","492364765","WP_005821510.1","NG_050392.1","1","1","cfiA4","cfiA_fam","subclass_B1_metallo-beta-lactamase_CfiA4 NG_050392.1:1-750","    4642","     658","     750","   94.27","   94.27","  100.00","  106.08","    3.79"," 2994.32","1.0e-26",128,"122","2837","707","707","2843","8.99218","0","12","4","0","0","22","17",0.75,53.9,4354891,44816,"D",2,"    Bacteria",94.27,100
"26","HUM0041","496540878","WP_009247026.1","NG_048141.1","1","1","tet(40)","tet(40)","tetracycline_efflux_MFS_transporter_Tet(40) NG_048141.1:101-1321","    8839","    1070","    1221","   95.74","   95.82","   99.91","  104.36","    7.14"," 6089.11","1.0e-26",69,"50","8651","1170","1169","8712","22.966996","0","21","23","0","0","61","42",1.221,53.9,4354891,44816,"D",2,"    Bacteria",95.82,99.91
"27","HUM0041","501919555","WP_012669445.1","NG_048264.1","1","1","tet(O)","tet(O)","tetracycline_resistance_ribosomal_protection_protein_Tet(O) NG_048264.1:101-2020","   95344","    1661","    1920","   98.85","   98.85","  100.00","  101.16","   47.46","90473.49","1.0e-26",966,"807","90550","1898","1898","91122","376.724391","0","96","218","0","4","659","508",1.92,53.9,4354891,44816,"D",2,"    Bacteria",98.85,100
"28","HUM0041","504449189","WP_014636291.1","NG_048267.1","1","1","tet(O)","tet(O)","tetracycline_resistance_ribosomal_protection_protein_Tet(O) NG_048267.1:62-1981","   19169","    1681","    1920","   71.98","   72.29","   99.57","  138.33","    9.60","14666.97","1.0e-26",202,"165","18158","1388","1382","18439","79.749674","0","27","101","0","0","130","93",1.92,53.9,4354891,44816,"D",2,"    Bacteria",72.29,99.57
"29","HUM0041","505385953","WP_015573055.1","NG_048139.1","1","1","tet(40)","tet(40)","tetracycline_efflux_MFS_transporter_Tet(40) NG_048139.1:101-1321","   20480","    1068","    1221","  100.00","  100.00","  100.00","  100.00","   13.39","17485.14","1.0e-26",374,"344","16275","1221","1221","16346","24.774583","0","23","29","0","0","123","103",1.221,53.9,4354891,44816,"D",2,"    Bacteria",100,100
"30","HUM0041","758866324","WP_043029018.1","NG_048244.1","1","1","tet(M)","tet(M)","tetracycline_resistance_ribosomal_protection_protein_Tet(M) NG_048244.1:101-2020","   10241","    1683","    1920","   75.42","   75.42","  100.00","  132.60","    2.89"," 6140.56","1.0e-26",323,"312","5550","1448","1448","5558","5.546223","2","10","4","0","0","43","34",1.92,53.9,4354891,44816,"D",2,"    Bacteria",75.42,100
"31","HUM0042","1028100272","WP_063856407.1","NG_048270.1","1","1","tet(Q)","tet(Q)","tetracycline_resistance_ribosomal_protection_protein_Tet(Q) NG_048270.1:101-2026","   45393","    1494","    1926","   98.55","  100.00","   98.55","  100.00","   25.92","41100.45","1.0e-26",621,"537","44949","1926","1898","49913","127.547874","0","56","1670","0","0","354","277",1.926,32.19,2226975,50488,"D",2,"    Bacteria",100,98.55
"32","HUM0042","447178612","WP_001255868.1","NG_047378.1","1","1","aadE","aadE","aminoglycoside_6-adenylyltransferase_AadE NG_047378.1:28-894","    3855","     677","     867","   68.28","   68.40","   99.83","  146.21","    0.80"," 2227.53","1.0e-26",192,"189","694","593","592","695","0.394323","0","2","1","0","0","5","3",0.867,32.19,2226975,50488,"D",2,"    Bacteria",68.4,99.83
"33","HUM0042","488251003","WP_002322211.1","NG_047755.1","1","1","dfrF","dfrF","trimethoprim-resistant_dihydrofolate_reductase_DfrF NG_047755.1:101-595","    3210","     386","     495","   88.28","   88.69","   99.54","  112.76","    2.61"," 2215.88","1.0e-26",126,"122","1257","439","437","1290","2.33168","0","5","5","3","0","9","7",0.495,32.19,2226975,50488,"D",2,"    Bacteria",88.69,99.54
"34","HUM0042","488624287","WP_002560998.1","NG_048269.1","1","1","tet(Q)","tet(Q)","tetracycline_resistance_ribosomal_protection_protein_Tet(Q) NG_048269.1:101-2026","   18416","    1501","    1926","   96.11","   98.08","   97.99","  101.96","   10.68","14364.34","1.0e-26",235,"207","18556","1889","1851","20562","49.931377","34","32","668","2","0","144","117",1.926,32.19,2226975,50488,"D",2,"    Bacteria",98.08,97.99
"35","HUM0042","488650015","WP_002586627.1","NG_048281.1","1","1","tet(W)","tet(W)","tetracycline_resistance_ribosomal_protection_protein_Tet(W) NG_048281.1:101-2020","  135160","    1466","    1920","  100.00","  100.00","  100.00","  100.00","   68.79","130824.67","1.0e-26",1218,"954","131494","1920","1920","132068","167.094579","9","117","226","16","0","975","716",1.92,32.19,2226975,50488,"D",2,"    Bacteria",100,100
"36","HUM0042","488673313","WP_002602099.1","NG_048125.1","1","1","tet(32)","tet(32)","tetracycline_resistance_ribosomal_protection_protein_Tet(32) NG_048125.1:101-2020","   72733","    1482","    1920","  100.00","  100.00","  100.00","  100.00","   35.73","68403.94","1.0e-26",791,"656","68165","1920","1920","68611","115.160449","14","69","167","3","0","500","367",1.92,32.19,2226975,50488,"D",2,"    Bacteria",100,100
"37","HUM0042","489549776","WP_003454408.1","NG_048145.1","1","1","tet(44)","tet(44)","tetracycline_resistance_ribosomal_protection_protein_Tet(44) NG_048145.1:101-2023","   13804","    1500","    1923","   85.02","   86.53","   98.26","  115.56","    3.51"," 9891.30","1.0e-26",513,"489","6359","1664","1635","6753","6.073056","8","11","138","0","0","48","37",1.923,32.19,2226975,50488,"D",2,"    Bacteria",86.53,98.26
"38","HUM0042","489600961","WP_003505402.1","NG_048126.1","1","1","tet(32)","tet(32)","tetracycline_resistance_ribosomal_protection_protein_Tet(32) NG_048126.1:101-2020","    5449","    1500","    1920","   89.84","   90.52","   99.25","  110.47","    2.37"," 2243.85","1.0e-26",101,"93","4373","1738","1725","4557","2.327732","0","6","60","0","1","32","25",1.92,32.19,2226975,50488,"D",2,"    Bacteria",90.52,99.25
"39","HUM0042","490421615","WP_004293868.1","NG_048268.1","1","1","tet(Q)","tet(Q)","tetracycline_resistance_ribosomal_protection_protein_Tet(Q) NG_048268.1:101-2026","    9001","    1503","    1926","   62.10","   66.25","   93.73","  150.94","    6.12"," 5350.40","1.0e-26",129,"111","9888","1276","1196","11785","58.17226","0","29","633","0","0","84","66",1.926,32.19,2226975,50488,"D",2,"    Bacteria",66.25,93.73
"40","HUM0042","501919555","WP_012669445.1","NG_048264.1","1","1","tet(O)","tet(O)","tetracycline_resistance_ribosomal_protection_protein_Tet(O) NG_048264.1:101-2020","   65416","    1484","    1920","   99.22","   99.27","   99.95","  100.73","   31.71","61094.46","1.0e-26",744,"619","60527","1906","1905","60878","122.80703","0","49","123","4","2","440","322",1.92,32.19,2226975,50488,"D",2,"    Bacteria",99.27,99.95
"41","HUM0042","505385953","WP_015573055.1","NG_048139.1","1","1","tet(40)","tet(40)","tetracycline_efflux_MFS_transporter_Tet(40) NG_048139.1:101-1321","   13936","     952","    1221","   99.92","  100.00","   99.92","  100.00","    9.45","11322.19","1.0e-26",234,"210","11428","1221","1220","11533","12.292898","0","18","35","2","0","83","63",1.221,32.19,2226975,50488,"D",2,"    Bacteria",100,99.92
"42","HUM0042","557680565","WP_023434793.1","NG_051537.1","1","1","rmtF2","rmtF","16S_rRNA_(guanine(1405)-N(7))-methyltransferase_RmtF2 NG_051537.1:101-880","    6500","     609","     780","   98.08","  100.26","   97.83","   99.74","    4.04"," 4881.10","1.0e-26",240,"233","2853","782","765","3151","4.17919","0","9","88","10","1","23","17",0.78,32.19,2226975,50488,"D",2,"    Bacteria",100.26,97.83
"43","HUM0042","636989663","WP_024407615.1","NG_048140.1","1","1","tet(40)","tet(40)","tetracycline_efflux_MFS_transporter_Tet(40) NG_048140.1:101-1321","    1618","     954","    1221","   63.39","   63.39","  100.00","  157.75","    1.28","  171.08","1.0e-26",15,"12","1562","774","774","1565","1.842001","0","5","1","0","0","11","8",1.221,32.19,2226975,50488,"D",2,"    Bacteria",63.39,100
"44","HUM0148","1028100272","WP_063856407.1","NG_048270.1","1","1","tet(Q)","tet(Q)","tetracycline_resistance_ribosomal_protection_protein_Tet(Q) NG_048270.1:101-2026","  398081","    2268","    1926","   98.75","  100.00","   98.75","  100.00","  222.45","391327.79","1.0e-26",3098,"2413","408529","1926","1902","428440","10239.706549","0","404","6741","20","15","2942","2265",1.926,46.19,4757365,51383,"D",2,"    Bacteria",100,98.75
"45","HUM0148","1028100274","WP_063856409.1","NG_048272.1","1","1","tet(Q)","tet(Q)","tetracycline_resistance_ribosomal_protection_protein_Tet(Q) NG_048272.1:101-2026","   50038","    2360","    1926","   70.72","   73.73","   95.92","  135.63","   30.18","43383.10","1.0e-26",449,"402","51814","1420","1362","58132","2210.742299","9","176","2116","6","0","397","355",1.926,46.19,4757365,51383,"D",2,"    Bacteria",73.73,95.92
"46","HUM0148","1028105071","WP_063860256.1","NG_049083.1","1","1","blaEC-18","blaEC","extended-spectrum_class_C_beta-lactamase_EC-18 NG_049083.1:101-1234","    4346","    1396","    1134","   71.34","   72.05","   99.02","  138.80","    1.49"," 1514.95","1.0e-26",176,"170","1642","817","809","1689","1.20756","0","4","17","0","0","13","11",1.134,46.19,4757365,51383,"D",2,"    Bacteria",72.05,99.02
"47","HUM0148","1469324127","WP_117664257.1","NG_064793.1","1","1","cfxA6","cfxA6","broad-spectrum_class_A_beta-lactamase_CfxA6 NG_064793.1:101-1063","  148090","    1166","     963","   99.79","  100.00","   99.79","  100.00","  152.08","144625.71","1.0e-26",1329,"1059","145102","963","961","146451","413.405149","3","215","478","13","8","1112","851",0.963,46.19,4757365,51383,"D",2,"    Bacteria",100,99.79
"48","HUM0148","446614390","WP_000691736.1","NG_048223.1","1","1","tet(M)","tet(M)","tetracycline_resistance_ribosomal_protection_protein_Tet(M) NG_048223.1:13-1932","   11945","    2362","    1920","   63.96","   63.96","  100.00","  156.35","    2.52"," 6417.57","1.0e-26",467,"454","4823","1228","1228","4832","6.704931","0","10","5","0","0","35","25",1.92,46.19,4757365,51383,"D",2,"    Bacteria",63.96,100
"49","HUM0148","488251003","WP_002322211.1","NG_047755.1","1","1","dfrF","dfrF","trimethoprim-resistant_dihydrofolate_reductase_DfrF NG_047755.1:101-595","   12141","     609","     495","  100.00","  100.00","  100.00","  100.00","   18.15","10430.35","1.0e-26",266,"246","8914","495","495","8985","32.932599","0","31","19","6","0","73","57",0.495,46.19,4757365,51383,"D",2,"    Bacteria",100,100
"50","HUM0148","488624287","WP_002560998.1","NG_048269.1","1","1","tet(Q)","tet(Q)","tetracycline_resistance_ribosomal_protection_protein_Tet(Q) NG_048269.1:101-2026","  500795","    2241","    1926","   99.38","  100.00","   99.38","  100.00","  276.53","494111.62","1.0e-26",4204,"3420","509018","1926","1914","532596","7077.854524","0","453","7970","58","60","3814","3046",1.926,46.19,4757365,51383,"D",2,"    Bacteria",100,99.38
"51","HUM0148","488650015","WP_002586627.1","NG_048281.1","1","1","tet(W)","tet(W)","tetracycline_resistance_ribosomal_protection_protein_Tet(W) NG_048281.1:101-2020","  154465","    2325","    1920","  100.00","  100.00","  100.00","  100.00","   77.96","147627.30","1.0e-26",1447,"1159","149011","1920","1920","149677","296.601777","0","122","259","16","0","1090","810",1.92,46.19,4757365,51383,"D",2,"    Bacteria",100,100
"52","HUM0148","488673313","WP_002602099.1","NG_048125.1","1","1","tet(32)","tet(32)","tetracycline_resistance_ribosomal_protection_protein_Tet(32) NG_048125.1:101-2020","  137403","    2329","    1920","  100.00","  100.00","  100.00","  100.00","   69.51","130569.27","1.0e-26",1288,"1018","132054","1920","1920","133456","233.294722","0","102","491","23","1","959","703",1.92,46.19,4757365,51383,"D",2,"    Bacteria",100,100
"53","HUM0148","490421615","WP_004293868.1","NG_048268.1","1","1","tet(Q)","tet(Q)","tetracycline_resistance_ribosomal_protection_protein_Tet(Q) NG_048268.1:101-2026","   95668","    2347","    1926","   89.93","   93.93","   95.74","  106.47","   59.52","88849.01","1.0e-26",882,"752","103133","1809","1732","114639","3064.704353","9","231","3854","15","14","825","699",1.926,46.19,4757365,51383,"D",2,"    Bacteria",93.93,95.74
"54","HUM0148","501919555","WP_012669445.1","NG_048264.1","1","1","tet(O)","tet(O)","tetracycline_resistance_ribosomal_protection_protein_Tet(O) NG_048264.1:101-2020","   48363","    2353","    1920","   83.23","   83.23","  100.00","  120.15","   23.40","41740.37","1.0e-26",547,"459","44567","1598","1598","44928","413.800417","0","65","128","1","0","309","227",1.92,46.19,4757365,51383,"D",2,"    Bacteria",83.23,100
"55","HUM0148","504449189","WP_014636291.1","NG_048267.1","1","1","tet(O)","tet(O)","tetracycline_resistance_ribosomal_protection_protein_Tet(O) NG_048267.1:62-1981","   26254","    2358","    1920","   69.58","   69.90","   99.55","  143.07","   13.72","19955.11","1.0e-26",224,"176","25774","1342","1336","26338","215.196353","0","46","196","0","0","179","131",1.92,46.19,4757365,51383,"D",2,"    Bacteria",69.9,99.55
"56","HUM0148","505385953","WP_015573055.1","NG_048139.1","1","1","tet(40)","tet(40)","tetracycline_efflux_MFS_transporter_Tet(40) NG_048139.1:101-1321","    2991","    1503","    1221","   65.27","   65.36","   99.87","  153.01","    1.97","  492.01","1.0e-26",49,"42","2381","798","797","2400","3.571298","0","6","7","0","0","16","11",1.221,46.19,4757365,51383,"D",2,"    Bacteria",65.36,99.87
"57","HUM0148","636989663","WP_024407615.1","NG_048140.1","1","1","tet(40)","tet(40)","tetracycline_efflux_MFS_transporter_Tet(40) NG_048140.1:101-1321","   27043","    1499","    1221","   99.75","  100.00","   99.75","  100.00","   18.64","22858.68","1.0e-26",409,"369","22496","1221","1218","22754","75.489613","0","37","94","0","0","163","130",1.221,46.19,4757365,51383,"D",2,"    Bacteria",100,99.75
"58","HUM0149","1028099868","WP_063856115.1","NG_048222.1","1","1","tet(M)","tet(M)","tetracycline_resistance_ribosomal_protection_protein_Tet(M) NG_048222.1:26-1945","   13326","    1834","    1920","   71.67","   71.77","   99.85","  139.33","    3.55"," 8711.10","1.0e-26",445,"425","6745","1378","1376","6812","15.944579","29","16","15","0","12","51","37",1.92,48.57,3742574,34618,"D",2,"    Bacteria",71.77,99.85
"59","HUM0149","1028100270","WP_063856405.1","NG_048262.1","1","1","tet(O)","tet(O)","tetracycline_resistance_ribosomal_protection_protein_Tet(O) NG_048262.1:14-1933","   13932","    1834","    1920","   71.46","   71.56","   99.85","  139.74","    6.99"," 9283.32","1.0e-26",128,"106","13336","1374","1372","13414","143.821692","69","53","28","0","0","90","68",1.92,48.57,3742574,34618,"D",2,"    Bacteria",71.56,99.85
"60","HUM0149","1028100272","WP_063856407.1","NG_048270.1","1","1","tet(Q)","tet(Q)","tetracycline_resistance_ribosomal_protection_protein_Tet(Q) NG_048270.1:101-2026","  232930","    1781","    1926","   98.18","  100.00","   98.18","  100.00","  130.38","227638.19","1.0e-26",1883,"1537","238858","1926","1891","251114","4478.187057","0","305","4126","37","20","1755","1410",1.926,48.57,3742574,34618,"D",2,"    Bacteria",100,98.18
"61","HUM0149","1028100274","WP_063856409.1","NG_048272.1","1","1","tet(Q)","tet(Q)","tetracycline_resistance_ribosomal_protection_protein_Tet(Q) NG_048272.1:101-2026","   70723","    1824","    1926","   78.19","   81.41","   96.05","  122.83","   42.03","65432.28","1.0e-26",626,"575","72880","1568","1506","80951","4311.392104","43","271","2717","4","0","558","507",1.926,48.57,3742574,34618,"D",2,"    Bacteria",81.41,96.05
"62","HUM0149","1469324127","WP_117664257.1","NG_064793.1","1","1","cfxA6","cfxA6","broad-spectrum_class_A_beta-lactamase_CfxA6 NG_064793.1:101-1063","  160329","     900","     963","   99.79","  100.00","   99.79","  100.00","  163.71","157647.78","1.0e-26",1527,"1244","156153","963","961","157654","482.724555","0","224","533","20","9","1259","981",0.963,48.57,3742574,34618,"D",2,"    Bacteria",100,99.79
"63","HUM0149","446614397","WP_000691743.1","NG_048230.1","1","1","tet(M)","tet(M)","tetracycline_resistance_ribosomal_protection_protein_Tet(M) NG_048230.1:101-2020","    3289","    1836","    1920","   63.07","   63.49","   99.34","  157.51","    1.20","  411.41","1.0e-26",80,"77","2262","1219","1211","2295","2.226957","96","6","11","0","0","17","14",1.92,48.57,3742574,34618,"D",2,"    Bacteria",63.49,99.34
"64","HUM0149","447178612","WP_001255868.1","NG_047378.1","1","1","aadE","aadE","aminoglycoside_6-adenylyltransferase_AadE NG_047378.1:28-894","    4521","     829","     867","   87.66","   87.77","   99.87","  113.93","    1.60"," 2547.50","1.0e-26",198,"190","1385","761","760","1391","1.466325","0","5","2","0","0","10","5",0.867,48.57,3742574,34618,"D",2,"    Bacteria",87.77,99.87
"65","HUM0149","488251003","WP_002322211.1","NG_047755.1","1","1","dfrF","dfrF","trimethoprim-resistant_dihydrofolate_reductase_DfrF NG_047755.1:101-595","   21493","     472","     495","  100.00","  100.00","  100.00","  100.00","   40.31","20116.92","1.0e-26",267,"226","19743","495","495","19951","60.042298","0","54","44","6","20","157","118",0.495,48.57,3742574,34618,"D",2,"    Bacteria",100,100
