#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
NODE_1658_length_7649_cov_7.405978	cds	2650	3108	+	JEIOHI_00050	dfrA1	trimethoprim-resistant dihydrofolate reductase DfrA1	"EC:1.5.1.3, GO:0004146, GO:0006545, GO:0006730, GO:0031427, GO:0046654, GO:0046677, GO:0050661, NCBIProtein:WP_000777555.1, RefSeq:WP_000225779.1, SO:0001217, UniParc:UPI00000B66ED, UniRef:UniRef100_Q79IE7, UniRef:UniRef50_P00382, UniRef:UniRef90_P00382"
NODE_1658_length_7649_cov_7.405978	cds	3240	3623	-	JEIOHI_00055	aadA	Streptomycin 3''-adenylyltransferase AadA	"SO:0001217, UniParc:UPI0000E5F522, UniRef:UniRef100_D5JGR4, UniRef:UniRef50_A0A2S1J949, UniRef:UniRef90_A0A2S1J949"
NODE_1658_length_7649_cov_7.405978	cds	3633	3992	+	JEIOHI_00060	aadA	"Streptomycin 3''-O-adenylyltransferase, aadA truncated"	"EC:2.7.7.47, KEGG:K00984, SO:0001217, UniParc:UPI0003F7C9F9, UniRef:UniRef100_A0A7S5GGT5, UniRef:UniRef50_A0A1Y6M5Q0, UniRef:UniRef90_A0A1Y6M5Q0"
NODE_1658_length_7649_cov_7.405978	cds	3953	4066	-	JEIOHI_00065		hypothetical protein	
NODE_1658_length_7649_cov_7.405978	cds	4113	4265	-	JEIOHI_00070		hypothetical protein	"SO:0001217, UniParc:UPI0003095333, UniRef:UniRef100_A0A7D5JQ98, UniRef:UniRef50_A0A7D5JQ98, UniRef:UniRef90_A0A7D5JQ98"
NODE_1658_length_7649_cov_7.405978	cds	4216	4392	-	JEIOHI_00075		hypothetical protein	"SO:0001217, UniParc:UPI00042F3BAB, UniRef:UniRef100_A0A7D5KIK8, UniRef:UniRef50_A0A809T3Q8, UniRef:UniRef90_A0A7D5KIK8"
NODE_1658_length_7649_cov_7.405978	cds	4497	5336	+	JEIOHI_00080	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	"COG:COG0294, COG:H, EC:2.5.1.15, GO:0004156, GO:0046654, GO:0046656, GO:0046872, KEGG:K18974, NCBIProtein:WP_000259031.1, RefSeq:WP_000259031.1, SO:0001217, UniParc:UPI000000029B, UniRef:UniRef100_P0C002, UniRef:UniRef50_P0C002, UniRef:UniRef90_P0C002"
NODE_1658_length_7649_cov_7.405978	cds	5266	5445	-	JEIOHI_00085		Transposase	"RefSeq:WP_001993321.1, SO:0001217, UniParc:UPI0001D31941, UniRef:UniRef100_A0A168PRA3, UniRef:UniRef50_A0A168PRA3, UniRef:UniRef90_A0A168PRA3"
NODE_1658_length_7649_cov_7.405978	cds	5464	5964	+	JEIOHI_00090	yhbS	putative N-acetyltransferase YhbS	"COG:COG3153, COG:R, SO:0001217, UniRef:UniRef50_A0A899NBB6, UniRef:UniRef90_A0A1L2ZNQ8"
NODE_1658_length_7649_cov_7.405978	cds	5947	6522	-	JEIOHI_00095	tniB	TniB	"SO:0001217, UniParc:UPI0002A232F0, UniRef:UniRef100_A0A075MAX3, UniRef:UniRef50_A0A7W3RR48, UniRef:UniRef90_A0A075MAX3"
NODE_1658_length_7649_cov_7.405978	cds	6525	7421	-	JEIOHI_00100		Putative transposase	"SO:0001217, UniRef:UniRef50_F0JXP7, UniRef:UniRef90_F0JXP7"
NODE_2785_length_5222_cov_8.772015	cds	26	568	+	JEIOHI_00105	lexA	Repressor LexA	"SO:0001217, UniRef:UniRef50_A0A174YPQ6, UniRef:UniRef90_C4Z7A5"
NODE_2785_length_5222_cov_8.772015	cds	651	851	+	JEIOHI_00110	xRE	"DNA-binding transcriptional regulator, XRE-family HTH domain"	"COG:COG1476, COG:K, RefSeq:WP_117627416.1, SO:0001217, UniParc:UPI000E44D20D, UniRef:UniRef100_A0A3R6S144, UniRef:UniRef50_S0JNT6, UniRef:UniRef90_S0JNT6"
NODE_2785_length_5222_cov_8.772015	cds	963	1406	-	JEIOHI_00115	eMAP	tRNA-binding EMAP/Myf domain	"COG:COG0073, COG:J, SO:0001217, UniRef:UniRef50_A0A1C5L329, UniRef:UniRef90_A0A0M6WYV9"
NODE_2785_length_5222_cov_8.772015	cds	1502	1909	-	JEIOHI_00120		RNA-pol-A-CTD domain-containing protein	"SO:0001217, UniRef:UniRef50_S0JNS3, UniRef:UniRef90_S0JNS3"
NODE_2785_length_5222_cov_8.772015	cds	2116	2457	-	JEIOHI_00125		Transcriptional regulator	"RefSeq:WP_117627415.1, SO:0001217, UniParc:UPI000E43F3FC, UniRef:UniRef100_A0A417M0F7, UniRef:UniRef50_A0A417M0F7, UniRef:UniRef90_A0A417M0F7"
NODE_2785_length_5222_cov_8.772015	cds	2701	3306	-	JEIOHI_00130		Class B sortase	"EC:3.4.22.71, KEGG:K08600, RefSeq:WP_117627414.1, SO:0001217, UniParc:UPI000E44A501, UniRef:UniRef100_A0A417M0K8, UniRef:UniRef50_A0A417M0K8, UniRef:UniRef90_A0A417M0K8"
NODE_2785_length_5222_cov_8.772015	cds	3337	3507	-	JEIOHI_00135		hypothetical protein	
NODE_2785_length_5222_cov_8.772015	cds	3803	4843	-	JEIOHI_00140	tet(40)	tetracycline efflux MFS transporter Tet(40)	"KEGG:K18214, NCBIProtein:WP_015573055.1, SO:0001217, UniRef:UniRef50_F4XDK4, UniRef:UniRef90_R9L794"
NODE_5315_length_3366_cov_5.625491	cds	64	714	+	JEIOHI_00145	yedA	Putative inner membrane transporter YedA	"RefSeq:WP_119122508.1, SO:0001217, UniParc:UPI0002E3CD41, UniRef:UniRef100_A0A6Y3LN35, UniRef:UniRef50_A0A6C7H283, UniRef:UniRef90_A0A482EU44"
NODE_5315_length_3366_cov_5.625491	cds	746	2020	-	JEIOHI_00150	tet(A)	tetracycline efflux MFS transporter Tet(A)	"NCBIProtein:WP_000804064.1, RefSeq:WP_000106218.1, SO:0001217, UniParc:UPI000025431C, UniRef:UniRef100_D9Z5C3, UniRef:UniRef90_P02982"
NODE_5315_length_3366_cov_5.625491	cds	2024	2701	+	JEIOHI_00155	tetR(A)	tetracycline resistance transcriptional repressor TetR(A)	"BlastRules:WP_000164043, COG:COG1309, COG:K, GO:0003677, GO:0045892, GO:0046677, GO:0046872, RefSeq:WP_000470728.1, SO:0001217, UniParc:UPI000005D507, UniRef:UniRef100_P03038, UniRef:UniRef50_P03038, UniRef:UniRef90_P03038"
NODE_5315_length_3366_cov_5.625491	cds	3104	3331	+	JEIOHI_00160		hypothetical protein	
NODE_5807_length_3187_cov_18.301086	cds	39	1550	-	JEIOHI_00165	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	"NCBIProtein:WP_014636291.1, SO:0001217, UniRef:UniRef50_A0A0N7D7L0, UniRef:UniRef90_A0A564UFI8"
NODE_5807_length_3187_cov_18.301086	cds	2325	2699	-	JEIOHI_00170	tnpV	TnpV protein	"RefSeq:WP_001129922.1, SO:0001217, UniParc:UPI00015625E8, UniRef:UniRef100_A0A6W0QAC8, UniRef:UniRef50_D9SLH9, UniRef:UniRef90_D9SLH9"
NODE_5807_length_3187_cov_18.301086	cds	2751	3164	-	JEIOHI_00175		plasmid recombination protein	"SO:0001217, UniRef:UniRef50_UPI0020979ED2"
NODE_841_length_12490_cov_35.928428	cds	69	1853	+	JEIOHI_00180	tet(32)	tetracycline resistance ribosomal protection protein Tet(32)	"COG:COG0480, COG:J, NCBIProtein:WP_002602099.1, SO:0001217, UniRef:UniRef50_P10952, UniRef:UniRef90_A3QT96"
NODE_841_length_12490_cov_35.928428	cds	2001	2279	+	JEIOHI_00185		HTH domain protein	"RefSeq:WP_005946735.1, SO:0001217, UniParc:UPI0001967D7A, UniRef:UniRef100_B8LJ35, UniRef:UniRef50_A0A0G8G3U8, UniRef:UniRef90_B8LJ35"
NODE_841_length_12490_cov_35.928428	cds	2603	3370	+	JEIOHI_00190	ubiE	Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG	"COG:COG2226, COG:H, RefSeq:WP_002586626.1, SO:0001217, UniParc:UPI00005E61E8, UniRef:UniRef100_A0A087D0Y5, UniRef:UniRef50_B0N9K3, UniRef:UniRef90_B0N9K3"
NODE_841_length_12490_cov_35.928428	cds	3578	4024	+	JEIOHI_00195	rpoE	"DNA-directed RNA polymerase specialized sigma subunit, sigma24 family"	"COG:COG1595, COG:K, RefSeq:WP_002602096.1, SO:0001217, UniParc:UPI000194A2CB, UniRef:UniRef100_A0A414VYF8, UniRef:UniRef50_R9MN44, UniRef:UniRef90_A0A828T553"
NODE_841_length_12490_cov_35.928428	cds	4014	4217	+	JEIOHI_00200		HTH-16 domain-containing protein	"RefSeq:WP_002602095.1, SO:0001217, UniParc:UPI000194A2CC, UniRef:UniRef100_A0A414S9Q3, UniRef:UniRef50_R9N898, UniRef:UniRef90_A0A828T6A9"
NODE_841_length_12490_cov_35.928428	cds	4577	5149	+	JEIOHI_00205	mobC	Plasmid mobilization relaxosome protein MobC	"SO:0001217, UniRef:UniRef50_G2T397, UniRef:UniRef90_V2XJP5"
NODE_841_length_12490_cov_35.928428	cds	5121	6743	+	JEIOHI_00210		Relaxase	"RefSeq:WP_002602093.1, SO:0001217, UniParc:UPI0001967EA1, UniRef:UniRef100_A0A414S9Z5, UniRef:UniRef50_F4XFQ7, UniRef:UniRef90_A0A828T2K4"
NODE_841_length_12490_cov_35.928428	cds	6857	7030	+	JEIOHI_00215		hypothetical protein	"SO:0001217, UniParc:UPI0001A410D1, UniRef:UniRef100_V2Y3V8, UniRef:UniRef50_V2Y3V8, UniRef:UniRef90_V2Y3V8"
NODE_841_length_12490_cov_35.928428	cds	7111	7869	+	JEIOHI_00220		Replication protein	"RefSeq:WP_002605636.1, SO:0001217, UniParc:UPI0001967EA2, UniRef:UniRef100_V2Y2V4, UniRef:UniRef50_D5Q4D4, UniRef:UniRef90_B9YEI8"
NODE_841_length_12490_cov_35.928428	cds	7866	8723	+	JEIOHI_00225	dnaC	DNA replication protein DnaC	"COG:COG1484, COG:L, RefSeq:WP_002605635.1, SO:0001217, UniParc:UPI000194A679, UniRef:UniRef100_A0A454HKL3, UniRef:UniRef50_H1CH32, UniRef:UniRef90_A0A828SXQ7"
NODE_841_length_12490_cov_35.928428	cds	8720	8902	+	JEIOHI_00230		Chorismate synthase	"RefSeq:WP_002605634.1, SO:0001217, UniParc:UPI000194A67A, UniRef:UniRef100_A0A454HKL9, UniRef:UniRef50_R9N470, UniRef:UniRef90_A0A454HKL9"
NODE_841_length_12490_cov_35.928428	cds	9003	10613	+	JEIOHI_00235	spoIVCA	Site-specific DNA recombinase SpoIVCA/DNA invertase PinE	"COG:COG1961, COG:L, KEGG:K06400, RefSeq:WP_002605633.1, SO:0001217, UniParc:UPI0001BCB9D7, UniRef:UniRef100_D4CMQ0, UniRef:UniRef50_F3AY85, UniRef:UniRef90_V8CAL3"
NODE_841_length_12490_cov_35.928428	cds	10805	11677	+	JEIOHI_00240		TrbL/VirB6 plasmid conjugal transfer protein	"SO:0001217, UniRef:UniRef50_G2T390"
NODE_841_length_12490_cov_35.928428	cds	11698	12138	+	JEIOHI_00245		Septation protein spoVG	"SO:0001217, UniRef:UniRef50_A0A0E3JYM2"
NODE_11039_length_2059_cov_50.030938	cds	6	1925	-	JIGGCE_00005	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	"COG:COG0480, COG:J, GO:0003924, GO:0005525, GO:0006412, GO:0046677, NCBIProtein:WP_002586627.1, RefSeq:WP_002586627.1, SO:0001217, UniParc:UPI0000001008, UniRef:UniRef100_O52836, UniRef:UniRef50_P10952, UniRef:UniRef90_O52836"
NODE_11039_length_2059_cov_50.030938	sorf	1985	2029	-	JIGGCE_00010		TetW-regulatory peptide	"SO:0001217, UniParc:UPI000165FE00, UniRef:UniRef100_B1AA31, UniRef:UniRef50_B1AA31, UniRef:UniRef90_B1AA31"
NODE_19985_length_1392_cov_13.415856	cds	161	1309	-	JIGGCE_00015	tet(40)	tetracycline efflux MFS transporter Tet(40)	"KEGG:K18214, NCBIProtein:WP_015573055.1, SO:0001217, UniRef:UniRef50_F4XDK4, UniRef:UniRef90_R9L794"
NODE_28762_length_1110_cov_39.140284	cds	39	1079	-	JIGGCE_00020	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	"NCBIProtein:WP_044666383.1, SO:0001217, UniRef:UniRef50_F5VW55, UniRef:UniRef90_E5VKL9"
NODE_3839_length_4335_cov_25.109346	cds	124	891	-	JIGGCE_00025	ubiE	Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG	"COG:COG2226, COG:H, RefSeq:WP_096920788.1, SO:0001217, UniParc:UPI00078BC386, UniRef:UniRef100_A0A127T745, UniRef:UniRef50_B0N9K3, UniRef:UniRef90_B0N9K3"
NODE_3839_length_4335_cov_25.109346	cds	1215	1559	-	JIGGCE_00030		HTH domain protein	"RefSeq:WP_002602098.1, SO:0001217, UniParc:UPI000191EC00, UniRef:UniRef100_B8LJ35, UniRef:UniRef50_A0A0G8G3U8, UniRef:UniRef90_B8LJ35"
NODE_3839_length_4335_cov_25.109346	cds	1641	3560	-	JIGGCE_00035	tet(32)	tetracycline resistance ribosomal protection protein Tet(32)	"COG:COG0480, COG:J, NCBIProtein:WP_002602099.1, RefSeq:WP_002602099.1, SO:0001217, UniParc:UPI0001588750, UniRef:UniRef100_A3QT96, UniRef:UniRef50_P10952, UniRef:UniRef90_A3QT96"
NODE_4446_length_3921_cov_6.128815	cds	745	1218	-	JIGGCE_00040	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	"EC:1.5.1.3, KEGG:K00287, NCBIProtein:WP_002322211.1, RefSeq:WP_002303419.1, SO:0001217, UniParc:UPI0001B6ED1D, UniRef:UniRef100_A0A1L5KW26, UniRef:UniRef50_B0NHQ4, UniRef:UniRef90_A0A1L5KI75"
NODE_4446_length_3921_cov_6.128815	cds	1613	1858	-	JIGGCE_00045		"Transcriptional regulator, y4mF family"	"SO:0001217, UniRef:UniRef50_A0A173UDZ0, UniRef:UniRef90_A0A173UDZ0"
NODE_4446_length_3921_cov_6.128815	cds	2185	3231	-	JIGGCE_00050		ORF6N domain-containing protein	"SO:0001217, UniRef:UniRef50_C4Z2F9, UniRef:UniRef90_C4Z2F9"
NODE_4446_length_3921_cov_6.128815	cds	3597	3815	-	JIGGCE_00055		Ovule protein	"SO:0001217, UniRef:UniRef50_A0A8H9ISA5"
NODE_8316_length_2515_cov_49.763821	cds	346	2271	-	JIGGCE_00060	tet(Q)	tetracycline resistance ribosomal protection protein Tet(Q)	"COG:COG0480, COG:J, NCBIProtein:WP_063856407.1, SO:0001217, UniRef:UniRef50_Q08425, UniRef:UniRef90_A0A6G0GL74"
NODE_11748_length_2003_cov_24.278234	cds	971	1108	+	JAOEJP_00005		hypothetical protein	
NODE_11748_length_2003_cov_24.278234	cds	1571	1945	-	JAOEJP_00010	tnpV	TnpV protein	"RefSeq:WP_001129922.1, SO:0001217, UniParc:UPI00015625E8, UniRef:UniRef100_A0A6W0QAC8, UniRef:UniRef50_D9SLH9, UniRef:UniRef90_D9SLH9"
NODE_1226_length_9228_cov_28.147825	cds	264	1949	+	JAOEJP_00015	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	"COG:COG0480, COG:J, NCBIProtein:WP_002586627.1, SO:0001217, UniRef:UniRef50_P10952, UniRef:UniRef90_A0A3G2C6Z4"
NODE_1226_length_9228_cov_28.147825	cds	1882	2067	-	JAOEJP_00020		hypothetical protein	
NODE_1226_length_9228_cov_28.147825	cds	2106	2435	+	JAOEJP_00025		Type II toxin-antitoxin system RelB/DinJ family antitoxin	"SO:0001217, UniRef:UniRef50_B5U1X4, UniRef:UniRef90_A0A413QPK4"
NODE_1226_length_9228_cov_28.147825	cds	2428	2706	+	JAOEJP_00030	yafQ	Type II toxin-antitoxin system YafQ family toxin	"RefSeq:WP_021632616.1, SO:0001217, UniParc:UPI000283A78F, UniRef:UniRef100_A0A127T6V9, UniRef:UniRef50_A0A6N2XT25, UniRef:UniRef90_D4JQL3"
NODE_1226_length_9228_cov_28.147825	cds	2779	3222	+	JAOEJP_00035		KfrA-N domain-containing protein	"RefSeq:WP_228117300.1, SO:0001217, UniParc:UPI001D176955, UniRef:UniRef100_UPI001D176955, UniRef:UniRef50_D4LUC8, UniRef:UniRef90_D4LUC8"
NODE_1226_length_9228_cov_28.147825	cds	3261	3479	+	JAOEJP_00040		Helix-turn-helix domain of transposase family ISL3	"RefSeq:WP_133241651.1, SO:0001217, UniParc:UPI00061D6E63, UniRef:UniRef100_A0A1L5KWL7, UniRef:UniRef50_A0A1Y3UJN6, UniRef:UniRef90_A0A1L5KWL7"
NODE_1226_length_9228_cov_28.147825	cds	3787	5013	+	JAOEJP_00045		Plasmid recombination enzyme	"RefSeq:WP_021658353.1, SO:0001217, UniParc:UPI0003984B80, UniRef:UniRef100_A0A1L5KWJ1, UniRef:UniRef50_A0A829ZFD1, UniRef:UniRef90_D4LUC5"
NODE_1226_length_9228_cov_28.147825	cds	5624	6880	+	JAOEJP_00050		Prim-Pol domain-containing protein	"SO:0001217, UniRef:UniRef50_A0A142BVY2, UniRef:UniRef90_D4LUC4"
NODE_1226_length_9228_cov_28.147825	sorf	7061	7132	+	JAOEJP_00055		Signal peptidase I	"SO:0001217, UniParc:UPI000191EBFF, UniRef:UniRef100_B8LJ33, UniRef:UniRef50_B8QUG8, UniRef:UniRef90_B8QUG8"
NODE_1226_length_9228_cov_28.147825	cds	7505	9190	+	JAOEJP_00060	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	"COG:COG0480, COG:J, NCBIProtein:WP_002586627.1, SO:0001217, UniRef:UniRef50_P10952, UniRef:UniRef90_A0A3G2C6Z4"
NODE_13062_length_1867_cov_3.533664	cds	255	1823	-	JAOEJP_00065	tet(44)	tetracycline resistance ribosomal protection protein Tet(44)	"KEGG:K18220, NCBIProtein:WP_003454408.1, SO:0001217, UniRef:UniRef50_P10952, UniRef:UniRef90_D8L9Y9"
NODE_16618_length_1600_cov_7.312621	cds	45	1283	+	JAOEJP_00070	tet(40)	tetracycline efflux MFS transporter Tet(40)	"KEGG:K18214, NCBIProtein:WP_015573055.1, SO:0001217, UniRef:UniRef50_F4XDK4, UniRef:UniRef90_R9L794"
NODE_3268_length_4690_cov_32.472492	cds	453	695	+	JAOEJP_00075		Phosphotransferase	"RefSeq:WP_005946711.1, SO:0001217, UniParc:UPI000194A1E0, UniRef:UniRef100_A0A454HDP3, UniRef:UniRef50_D4CMN8, UniRef:UniRef90_D4CMN8"
NODE_3268_length_4690_cov_32.472492	sorf	847	918	+	JAOEJP_00080		Signal peptidase I	"SO:0001217, UniParc:UPI000191EBFF, UniRef:UniRef100_B8LJ33, UniRef:UniRef50_B8QUG8, UniRef:UniRef90_B8QUG8"
NODE_3268_length_4690_cov_32.472492	cds	1291	2976	+	JAOEJP_00085	tet(32)	tetracycline resistance ribosomal protection protein Tet(32)	"COG:COG0480, COG:J, NCBIProtein:WP_002602099.1, SO:0001217, UniRef:UniRef50_P10952, UniRef:UniRef90_A3QT96"
NODE_3268_length_4690_cov_32.472492	cds	3124	3402	+	JAOEJP_00090		HTH domain protein	"RefSeq:WP_005946735.1, SO:0001217, UniParc:UPI0001967D7A, UniRef:UniRef100_B8LJ35, UniRef:UniRef50_A0A0G8G3U8, UniRef:UniRef90_B8LJ35"
NODE_3268_length_4690_cov_32.472492	cds	3399	3512	+	JAOEJP_00095	hipB	"Transcriptional regulator, contains XRE-family HTH domain"	"COG:COG1396, COG:K, SO:0001217, UniParc:UPI00023FAA2A, UniRef:UniRef100_A0A6N2YIZ0, UniRef:UniRef50_A0A828T5N1, UniRef:UniRef90_A0A828T5N1"
NODE_3268_length_4690_cov_32.472492	cds	3726	4493	+	JAOEJP_00100	ubiE	Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG	"COG:COG2226, COG:H, SO:0001217, UniRef:UniRef50_B0N9K3, UniRef:UniRef90_B0N9K3"
NODE_12583_length_1597_cov_370.380026	cds	49	333	-	NCBEMC_00005		hypothetical protein	
NODE_19962_length_1162_cov_56.064137	cds	74	394	+	NCBEMC_00010		hypothetical protein	
NODE_5056_length_3233_cov_14.664254	cds	224	1561	+	NCBEMC_00015	mepA	Multidrug export protein MepA	"SO:0001217, UniRef:UniRef50_A0A174FFS7"
NODE_5056_length_3233_cov_14.664254	cds	1867	2907	+	NCBEMC_00020	tet(40)	tetracycline efflux MFS transporter Tet(40)	"KEGG:K18214, NCBIProtein:WP_015573055.1, SO:0001217, UniRef:UniRef50_F4XDK4, UniRef:UniRef90_R9L794"
NODE_5056_length_3233_cov_14.664254	cds	3078	3176	+	NCBEMC_00025	ytzI	YtzI protein	"SO:0001217, UniParc:UPI0006C55A00, UniRef:UniRef100_A0A127SVG8, UniRef:UniRef50_A0A351MZM1, UniRef:UniRef90_A0A127SVG8"
NODE_6122_length_2743_cov_117.949405	cds	560	1576	-	NCBEMC_00030		DDE superfamily endonuclease	"SO:0001217, UniRef:UniRef50_D1PH73, UniRef:UniRef90_A0A127T141"
NODE_6122_length_2743_cov_117.949405	cds	1723	2718	-	NCBEMC_00035	cfxA6	broad-spectrum class A beta-lactamase CfxA6	"NCBIProtein:WP_117664257.1, SO:0001217, UniRef:UniRef50_P30899, UniRef:UniRef90_A0A7K0B099"
NODE_7373_length_2381_cov_45.672399	cds	39	1958	-	NCBEMC_00040	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	"COG:COG0480, COG:J, GO:0003924, GO:0005525, GO:0006412, GO:0046677, NCBIProtein:WP_012669445.1, RefSeq:WP_000691758.1, SO:0001217, UniParc:UPI000156315B, UniRef:UniRef100_A0A290WNK8, UniRef:UniRef50_P10952, UniRef:UniRef90_P10952"
NODE_8906_length_2052_cov_8.721582	cds	160	654	+	NCBEMC_00045	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	"EC:1.5.1.3, KEGG:K00287, NCBIProtein:WP_002322211.1, RefSeq:WP_002322211.1, SO:0001217, UniParc:UPI00000B6DA1, UniRef:UniRef100_A0A1L5KI75, UniRef:UniRef50_B0NHQ4, UniRef:UniRef90_A0A1L5KI75"
NODE_8906_length_2052_cov_8.721582	cds	974	1717	+	NCBEMC_00050		Leucine-rich repeat domain-containing protein	"SO:0001217, UniRef:UniRef50_C4ZH58"
NODE_1299_length_9319_cov_31.527958	cds	21	1805	+	BJAOOK_00005	tet(32)	tetracycline resistance ribosomal protection protein Tet(32)	"COG:COG0480, COG:J, NCBIProtein:WP_002602099.1, SO:0001217, UniRef:UniRef50_P10952, UniRef:UniRef90_A3QT96"
NODE_1299_length_9319_cov_31.527958	cds	1953	2231	+	BJAOOK_00010		HTH domain protein	"RefSeq:WP_005946735.1, SO:0001217, UniParc:UPI0001967D7A, UniRef:UniRef100_B8LJ35, UniRef:UniRef50_A0A0G8G3U8, UniRef:UniRef90_B8LJ35"
NODE_1299_length_9319_cov_31.527958	cds	2555	3322	+	BJAOOK_00015	ubiE	Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG	"COG:COG2226, COG:H, RefSeq:WP_002602097.1, SO:0001217, UniParc:UPI000194A2CA, UniRef:UniRef100_A0A414VYE9, UniRef:UniRef50_B0N9K3, UniRef:UniRef90_B0N9K3"
NODE_1299_length_9319_cov_31.527958	cds	3530	3976	+	BJAOOK_00020	rpoE	"DNA-directed RNA polymerase specialized sigma subunit, sigma24 family"	"COG:COG1595, COG:K, RefSeq:WP_002602096.1, SO:0001217, UniParc:UPI000194A2CB, UniRef:UniRef100_A0A414VYF8, UniRef:UniRef50_R9MN44, UniRef:UniRef90_A0A828T553"
NODE_1299_length_9319_cov_31.527958	cds	3966	4169	+	BJAOOK_00025		HTH-16 domain-containing protein	"RefSeq:WP_002602095.1, SO:0001217, UniParc:UPI000194A2CC, UniRef:UniRef100_A0A414S9Q3, UniRef:UniRef50_R9N898, UniRef:UniRef90_A0A828T6A9"
NODE_1299_length_9319_cov_31.527958	cds	4911	5873	-	BJAOOK_00030		Secreted protein	"SO:0001217, UniRef:UniRef50_A0A1H9MRS7"
NODE_1299_length_9319_cov_31.527958	cds	6066	6500	-	BJAOOK_00035		hypothetical protein	
NODE_1299_length_9319_cov_31.527958	cds	7063	7821	+	BJAOOK_00040		Replication protein	"RefSeq:WP_002605636.1, SO:0001217, UniParc:UPI0001967EA2, UniRef:UniRef100_V2Y2V4, UniRef:UniRef50_D5Q4D4, UniRef:UniRef90_B9YEI8"
NODE_1299_length_9319_cov_31.527958	cds	7818	8675	+	BJAOOK_00045	dnaC	DNA replication protein DnaC	"COG:COG1484, COG:L, RefSeq:WP_002605635.1, SO:0001217, UniParc:UPI000194A679, UniRef:UniRef100_A0A454HKL3, UniRef:UniRef50_H1CH32, UniRef:UniRef90_A0A828SXQ7"
